id;type;lat;lon;address;title;sculptor;architect;year;material;condition;heritage_status;description;photo_urls;source_links;check_status
1;фигура;55,713319;37,595319;2-й Донской проезд ;Памятник Ленину (2-й Донской проезд);В.В.Козлов;;;;утрачен;;Вероятно находился около так называемого «Белое общежитие» — бывшее общежитие Текстильного института (МТИ) — это название он носил с 1923 по 1981 г. ныне Общежитие МГЮА им. О.Е. Кутафина;2-й Донской проезд -1.webp;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.594285,55.714423;Проверено
2;фигура;55,690376;37,576881;проспект 60-летия Октября 25;Памятник Ленину (проспект 60-летия Октября 25);Х.Б.Геворкян;;1959;;существует;;Во дворе жилого дома. В самом первом квартале застроенном «Хрущевками» (Черемушки);проспект 60-летия Октября 25-1.webp,проспект 60-летия Октября 25-2.webp,проспект 60-летия Октября 25-3.webp;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.399632,55.656731;Проверено
3;не указан;55,7327;37,534673;3-ий Сетуньский проезд 10;Памятник Ленину (3-ий Сетуньский проезд 10);Г.Н.Постников;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.534673,55.7327;
4;фигура;55,75217;37,722329;шоссе Энтузиастов 28;Памятник Ленину (ДК «Компрессор»);Н.И.Шильников ;;;;существует;;Поставлен возле ДК Компрессор. На фотографиях ДК 30х годов его еще нет. На фото 1968г уже есть.;шоссе Энтузиастов 28-1.webp,шоссе Энтузиастов 28-2.webp;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://yandex.ru/maps/-/CPdhrRyH;Проверено
5;не указан;55,831355;37,470923;Береговой проезд 6;Памятник Ленину (Береговой проезд 6);;;;;утрачен;;Территория бывшего деревообрабатывающего комбината №7.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.470923,55.831355;
6;фигура;55,777868;37,634752;Ботанический сад МГУ;"Памятник Ленину (Филиал Ботсада МГУ - ""Аптекарский огород"")";;;;;утрачен;;Фото 1940х и 1960х годов;Ботанический сад МГУ-1.webp,Ботанический сад МГУ-3.webp;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.527526,55.70851;Проверено
7;не указан;55,775459;37,69511;Будённовский городок;Памятник Ленину (Будённовский городок);;;;;утрачен;;"Улица Большая Почтовая, территория ""Будённовского городка"".
Фото сделано около 1961 года.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708;
8;не указан;55,83219;37,628007;ВСХВ;Памятник Ленину (ВСХВ);Б.Яковлев;;1938;;утрачен;;"Территория ВСХВ (позже -- ВДНХ, ВВЦ).
У Главного павильона ВСХВ (теперь на его месте газон у
фонтана ""Каменный Цветок"")";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708;
9;не указан;55,765299;37,641722;"Высшая Комсомольская
школа (ВКШ)";"Памятник Ленину (Высшая Комсомольская
школа (ВКШ))";;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.641722,55.765299;
10;не указан;55,753708;37,619917;ВЭИ;Памятник Ленину (ВЭИ);;;;;утрачен;;Территория Всесоюзного электротехнического института.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708;
11;не указан;55,753708;37,619917;"завод ""Динамо""";"Памятник Ленину (завод ""Динамо"")";;;;;утрачен;;"Улица Ленинская Слобода, 26.
Установлен в 1960-ых годах, демонтирован в 2000-ых годах.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708;
12;не указан;55,735772;37,574077;"завод ""Каучук""";"Памятник Ленину (завод ""Каучук"")";Т.В.Владимиров;;1956;;утрачен;;"Улица Усачёва, 11.
Демонтирован в 2010 году.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.574077,55.735772;
13;не указан;55,585421;37,731649;Завод имени Ленина;Памятник Ленину (Завод имени Ленина);С.Д.Меркуров;;;;утрачен;;Фото 1950-ых гг.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.731649,55.585421;
14;фигура;55,707876;37,595943;Завод имени Сталина;Памятник Ленину (Завод имени Сталина);П.П.Яцыно;;;;утрачен;;"Территория автомобильного завода имени Сталина.
Памятник был установлен в 1940-ые - 1950-ые гг., затем, с
установкой нового памятника, демонтирован.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.595943,55.707876;
15;не указан;55,979424;37,174157;Зеленоград;Памятник Ленину (Зеленоград);"М.К.Мерабишвили
Б.И.Тхор";;1969;;утрачен;;Демонтирован в 2009 году.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.174157,55.979424;
16;не указан;55,753331;37,799371;Зелёный проспект 30;Памятник Ленину (Зелёный проспект 30);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.799371,55.753331;
17;не указан;55,742775;37,565468;Киевский вокзал;Памятник Ленину (Киевский вокзал);С.С.Алёшин;;;;утрачен;;Демонтирован в 2003 году.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.565468,55.742775;
18;бюст;55,776498;37,655187;Ленинградский вокзал;Памятник Ленину (Ленинградский вокзал);"Л.А.Месс
В.И.Кузнецов";;1975;;утрачен;;"Внутри здания Ленинградского вокзала.
В 2013 году в ходе реконструкции Ленинградского вокзала бюст
был демонтирован и перенесён в музей Московской железной
дороги.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.655187,55.776498;
19;фигура;55,781657;37,571885;Ленинградский проспект 15;Памятник Ленину (Ленинградский проспект15);"А.М.Измалков
М.В.Першин";;1967;;утрачен;;"Территория кондитерской фабрики ""Большевик"".
Памятник демонтирован в 2014 году, позднее перенесен на
территорию усадьбы ""Горки Ленинские"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.571885,55.781657;
20;фигура;55,647193;37,477238;Лиственничная аллея;Памятник Ленину (Лиственничная аллея);В.В.Козлов;;;;утрачен;;"Установлен в 1928 году. В начале 1970-х гг. повреждён
хулиганами, позднее заменен другим памятником.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.477238,55.647193;
21;не указан;55,688161;37,756706;Люблинский парк;Памятник Ленину (Люблинский парк);А.Л.Котихин;;;;утрачен;;Демонтирован в 1990-ых годах.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.756706,55.688161;
22;не указан;55,802162;37,549822;Московский аэропорт;Памятник Ленину (Московский аэропорт);;;;;утрачен;;"Территория Московского аэропорта на Ленинградском
проспекте.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.549822,55.802162;
23;фигура;55,753708;37,619917;Московский Кремль;Памятник Ленину (Московский Кремль);"В.Б.Пинчук
С.Б.Сперанский";;1967;;утрачен;;"Памятник демонтирован в 1995 году и перенесён на
территорию усадьбы Горки Ленинские.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708;
24;не указан;55,772476;37,660785;Новорязанская улица;Памятник Ленину (Новорязанская улица);;;;;утрачен;;Фото 1957 года.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.660785,55.772476;
25;не указан;55,755223;37,551319;"парк ""Красная Пресня""";"Памятник Ленину (парк ""Красная Пресня"")";С.Д.Меркуров;;;;утрачен;;Снимок 1957-1958 годов.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.551319,55.755223;
